,Day,Time,Sensor_ID,Hourly_Counts,lat,lon
455,Friday,7,29,313.0,-37.81965808,144.96863453
456,Friday,7,30,170.0,-37.81121849,144.96656807
457,Friday,7,31,87.0,-37.8016968,144.96658911
458,Friday,7,32,531.0,-37.81573742,144.96685718
459,Friday,7,33,214.0,-37.81483252,144.97454056
460,Friday,7,34,141.0,-37.81537985,144.97415049999998
461,Friday,7,35,1405.0,-37.82017828,144.96508877
462,Friday,7,36,203.0,-37.81652527,144.96121063
463,Friday,7,37,45.0,-37.80310271,144.96671452
464,Friday,7,38,1532.0,-37.81723437,144.96715033
465,Friday,7,39,242.0,-37.81379749,144.96995745
466,Friday,7,40,238.0,-37.80999341,144.97227588
467,Friday,7,41,1187.0,-37.81668633,144.96689733
468,Friday,7,42,122.0,-37.80008565,144.96386412
469,Friday,7,43,96.0,-37.79844525,144.96411782
470,Friday,7,44,58.0,-37.79690473,144.96440378
471,Friday,7,45,410.0,-37.81414074,144.9660938
472,Friday,7,46,67.0,-37.80240719,144.96156731
473,Friday,7,47,504.0,-37.81160331,144.96220077
474,Friday,7,48,137.0,-37.80631581,144.95866698
475,Friday,7,49,105.0,-37.80730067,144.95956055
476,Friday,7,50,78.0,-37.79808191,144.96721014
477,Friday,7,51,69.0,-37.80841814,144.95906317
478,Friday,7,52,179.0,-37.81252157,144.9619401
479,Friday,7,53,380.0,-37.8156419,144.965499
480,Friday,7,54,101.0,-37.804024,144.963084
481,Friday,7,55,674.0,-37.81006172,144.96142335
482,Friday,7,56,130.0,-37.81234775,144.96153311
483,Friday,7,57,1659.0,-37.8176735,144.95025595
484,Friday,7,58,1099.0,-37.81686074,144.95358075
485,Friday,7,59,212.0,-37.80825648,144.96304859
486,Friday,7,60,904.0,-37.81668188,144.96689540000003
487,Friday,7,61,251.0,-37.80767455,144.96309115
488,Friday,8,1,731.0,-37.813494399999996,144.96515324
489,Friday,8,2,678.0,-37.81380667,144.96516719
490,Friday,8,3,739.0,-37.81101523,144.96429485
491,Friday,8,4,1048.0,-37.81487988,144.9660878
492,Friday,8,5,1535.0,-37.81874249,144.96787656
493,Friday,8,6,3114.0,-37.81911704,144.96558256
494,Friday,8,7,411.0,-37.81862929,144.97169395
495,Friday,8,8,371.0,-37.82293543,144.94717511
496,Friday,8,9,2604.0,-37.81982992,144.95102556
497,Friday,8,10,577.0,-37.81876473,144.94710545
498,Friday,8,11,71.0,-37.81564989,144.93970695
499,Friday,8,12,224.0,-37.81457987,144.94292398
500,Friday,8,13,4580.0,-37.81239679,144.95652653
501,Friday,8,14,992.0,-37.82011242,144.96291898
502,Friday,8,15,660.0,-37.81064378,144.96447132
503,Friday,8,16,907.0,-37.81573423,144.96521044
504,Friday,8,17,1712.0,-37.81362542,144.97323592
505,Friday,8,18,1617.0,-37.81344861,144.97305354
506,Friday,8,19,198.0,-37.81237202,144.96550671
507,Friday,8,20,138.0,-37.81172913,144.96824660000001
508,Friday,8,21,312.0,-37.81244703,144.96778757
