Day,Time,Sensor_ID,Hourly_Counts
Friday,06:00:00,51,41.0
Friday,06:00:00,52,52.0
Friday,06:00:00,53,121.0
Friday,06:00:00,54,39.0
Friday,06:00:00,55,497.0
Friday,06:00:00,56,59.0
Friday,06:00:00,57,459.0
Friday,06:00:00,58,335.0
Friday,06:00:00,59,117.0
Friday,06:00:00,60,365.0
Friday,06:00:00,61,89.0
Friday,07:00:00,1,283.0
Friday,07:00:00,2,275.0
Friday,07:00:00,3,339.0
Friday,07:00:00,4,478.0
Friday,07:00:00,5,805.0
Friday,07:00:00,6,1431.0
Friday,07:00:00,7,258.0
Friday,07:00:00,8,233.0
Friday,07:00:00,9,1299.0
Friday,07:00:00,10,304.0
Friday,07:00:00,11,47.0
Friday,07:00:00,12,134.0
Friday,07:00:00,13,2015.0
Friday,07:00:00,14,463.0
Friday,07:00:00,15,265.0
Friday,07:00:00,16,385.0
Friday,07:00:00,17,726.0
Friday,07:00:00,18,706.0
Friday,07:00:00,19,84.0
Friday,07:00:00,20,65.0
Friday,07:00:00,21,167.0
Friday,07:00:00,22,1280.0
Friday,07:00:00,23,559.0
Friday,07:00:00,24,1977.0
Friday,07:00:00,25,454.0
Friday,07:00:00,26,330.0
Friday,07:00:00,27,88.0
Friday,07:00:00,28,826.0
Friday,07:00:00,29,313.0
Friday,07:00:00,30,170.0
Friday,07:00:00,31,87.0
Friday,07:00:00,32,531.0
Friday,07:00:00,33,214.0
Friday,07:00:00,34,141.0
Friday,07:00:00,35,1405.0
Friday,07:00:00,36,203.0
Friday,07:00:00,37,45.0
Friday,07:00:00,38,1532.0
Friday,07:00:00,39,242.0
Friday,07:00:00,40,238.0
Friday,07:00:00,41,1187.0
Friday,07:00:00,42,122.0
Friday,07:00:00,43,96.0
Friday,07:00:00,44,58.0
Friday,07:00:00,45,410.0
Friday,07:00:00,46,67.0
Friday,07:00:00,47,504.0
Friday,07:00:00,48,137.0
Friday,07:00:00,49,105.0
Friday,07:00:00,50,78.0
Friday,07:00:00,51,69.0
Friday,07:00:00,52,179.0
Friday,07:00:00,53,380.0
Friday,07:00:00,54,101.0
Friday,07:00:00,55,674.0
Friday,07:00:00,56,130.0
Friday,07:00:00,57,1659.0
Friday,07:00:00,58,1099.0
Friday,07:00:00,59,212.0
Friday,07:00:00,60,904.0
Friday,07:00:00,61,251.0
Friday,08:00:00,1,731.0
Friday,08:00:00,2,678.0
Friday,08:00:00,3,739.0
Friday,08:00:00,4,1048.0
Friday,08:00:00,5,1535.0
Friday,08:00:00,6,3114.0
Friday,08:00:00,7,411.0
Friday,08:00:00,8,371.0
Friday,08:00:00,9,2604.0
Friday,08:00:00,10,577.0
Friday,08:00:00,11,71.0
Friday,08:00:00,12,224.0
Friday,08:00:00,13,4580.0
Friday,08:00:00,14,992.0
Friday,08:00:00,15,660.0
Friday,08:00:00,16,907.0
Friday,08:00:00,17,1712.0
Friday,08:00:00,18,1617.0
Friday,08:00:00,19,198.0
Friday,08:00:00,20,138.0
Friday,08:00:00,21,312.0
Friday,08:00:00,22,2349.0
Friday,08:00:00,23,1145.0
Friday,08:00:00,24,3593.0
Friday,08:00:00,25,800.0
Friday,08:00:00,26,627.0
Friday,08:00:00,27,177.0
Friday,08:00:00,28,1591.0
Friday,08:00:00,29,535.0
Friday,08:00:00,30,308.0
Friday,08:00:00,31,167.0
Friday,08:00:00,32,1197.0
Friday,08:00:00,33,483.0
Friday,08:00:00,34,258.0
Friday,08:00:00,35,2960.0
Friday,08:00:00,36,597.0
Friday,08:00:00,37,127.0
Friday,08:00:00,38,3055.0
Friday,08:00:00,39,599.0
Friday,08:00:00,40,659.0
Friday,08:00:00,41,2371.0
Friday,08:00:00,42,348.0
Friday,08:00:00,43,337.0
Friday,08:00:00,44,158.0
Friday,08:00:00,45,867.0
Friday,08:00:00,46,208.0
Friday,08:00:00,47,1062.0
Friday,08:00:00,48,274.0
Friday,08:00:00,49,156.0
Friday,08:00:00,50,155.0
Friday,08:00:00,51,140.0
Friday,08:00:00,52,560.0
Friday,08:00:00,53,837.0
Friday,08:00:00,54,220.0
Friday,08:00:00,55,1199.0
Friday,08:00:00,56,369.0
Friday,08:00:00,57,3736.0
Friday,08:00:00,58,2080.0
Friday,08:00:00,59,752.0
Friday,08:00:00,60,1532.0
Friday,08:00:00,61,703.0
Friday,09:00:00,1,941.0
Friday,09:00:00,2,915.0
Friday,09:00:00,3,822.0
Friday,09:00:00,4,1290.0
Friday,09:00:00,5,1119.0
Friday,09:00:00,6,1706.0
Friday,09:00:00,7,267.0
Friday,09:00:00,8,184.0
Friday,09:00:00,9,1366.0
Friday,09:00:00,10,362.0
Friday,09:00:00,11,54.0
Friday,09:00:00,12,170.0
Friday,09:00:00,13,2219.0
Friday,09:00:00,14,494.0
Friday,09:00:00,15,625.0
Friday,09:00:00,16,971.0
Friday,09:00:00,17,1118.0
Friday,09:00:00,18,897.0
Friday,09:00:00,19,218.0
Friday,09:00:00,20,171.0
Friday,09:00:00,21,345.0
Friday,09:00:00,22,1760.0
Friday,09:00:00,23,732.0
Friday,09:00:00,24,2267.0
Friday,09:00:00,25,586.0
Friday,09:00:00,26,735.0
Friday,09:00:00,27,165.0
Friday,09:00:00,28,1143.0
Friday,09:00:00,29,399.0
Friday,09:00:00,30,298.0
Friday,09:00:00,31,170.0
Friday,09:00:00,32,971.0
Friday,09:00:00,33,361.0
Friday,09:00:00,34,214.0
Friday,09:00:00,35,1905.0
Friday,09:00:00,36,507.0
Friday,09:00:00,37,133.0
Friday,09:00:00,38,2638.0
Friday,09:00:00,39,570.0
Friday,09:00:00,40,548.0
Friday,09:00:00,41,2175.0
Friday,09:00:00,42,431.0
Friday,09:00:00,43,412.0
Friday,09:00:00,44,182.0
Friday,09:00:00,45,801.0
Friday,09:00:00,46,232.0
Friday,09:00:00,47,1029.0
Friday,09:00:00,48,294.0
Friday,09:00:00,49,229.0
Friday,09:00:00,50,182.0
Friday,09:00:00,51,153.0
Friday,09:00:00,52,484.0
Friday,09:00:00,53,925.0
Friday,09:00:00,54,238.0
Friday,09:00:00,55,1043.0
Friday,09:00:00,56,369.0
Friday,09:00:00,57,2559.0
Friday,09:00:00,58,1515.0
Friday,09:00:00,59,577.0
Friday,09:00:00,60,1642.0
Friday,09:00:00,61,681.0
Friday,10:00:00,1,1394.0
Friday,10:00:00,2,1417.0
Friday,10:00:00,3,1073.0
Friday,10:00:00,4,1798.0
Friday,10:00:00,5,1150.0
Friday,10:00:00,6,1171.0
Friday,10:00:00,7,307.0
Friday,10:00:00,8,141.0
Friday,10:00:00,9,536.0
Friday,10:00:00,10,225.0
Friday,10:00:00,11,69.0
Friday,10:00:00,12,170.0
Friday,10:00:00,13,912.0
Friday,10:00:00,14,397.0
Friday,10:00:00,15,751.0
Friday,10:00:00,16,1255.0
Friday,10:00:00,17,713.0
Friday,10:00:00,18,508.0
Friday,10:00:00,19,387.0
Friday,10:00:00,20,263.0
Friday,10:00:00,21,471.0
Friday,10:00:00,22,1744.0
Friday,10:00:00,23,517.0
Friday,10:00:00,24,1570.0
Friday,10:00:00,25,621.0
Friday,10:00:00,26,922.0
Friday,10:00:00,27,196.0
Friday,10:00:00,28,1156.0
Friday,10:00:00,29,442.0
Friday,10:00:00,30,409.0
Friday,10:00:00,31,220.0
Friday,10:00:00,32,1091.0
Friday,10:00:00,33,230.0
Friday,10:00:00,34,203.0
Friday,10:00:00,35,1579.0
Friday,10:00:00,36,472.0
Friday,10:00:00,37,161.0
Friday,10:00:00,38,2804.0
Friday,10:00:00,39,423.0
Friday,10:00:00,40,515.0
Friday,10:00:00,41,2413.0
Friday,10:00:00,42,431.0
Friday,10:00:00,43,371.0
Friday,10:00:00,44,172.0
Friday,10:00:00,45,950.0
Friday,10:00:00,46,185.0
Friday,10:00:00,47,1141.0
Friday,10:00:00,48,358.0
Friday,10:00:00,49,327.0
Friday,10:00:00,50,234.0
Friday,10:00:00,51,174.0
Friday,10:00:00,52,459.0
Friday,10:00:00,53,1150.0
Friday,10:00:00,54,215.0
Friday,10:00:00,55,1095.0
Friday,10:00:00,56,419.0
Friday,10:00:00,57,1062.0
Friday,10:00:00,58,1122.0
Friday,10:00:00,59,725.0
Friday,10:00:00,60,1898.0
Friday,10:00:00,61,692.0
Friday,11:00:00,1,1998.0
Friday,11:00:00,2,2051.0
Friday,11:00:00,3,1467.0
Friday,11:00:00,4,2381.0
Friday,11:00:00,5,1409.0
Friday,11:00:00,6,1372.0
Friday,11:00:00,7,366.0
Friday,11:00:00,8,185.0
Friday,11:00:00,9,530.0
Friday,11:00:00,10,229.0
Friday,11:00:00,11,97.0
Friday,11:00:00,12,218.0
Friday,11:00:00,13,792.0
Friday,11:00:00,14,448.0
Friday,11:00:00,15,1003.0
Friday,11:00:00,16,1588.0
Friday,11:00:00,17,734.0
Friday,11:00:00,18,472.0
Friday,11:00:00,19,639.0
Friday,11:00:00,20,405.0
Friday,11:00:00,21,672.0
Friday,11:00:00,22,2053.0
Friday,11:00:00,23,522.0
Friday,11:00:00,24,1551.0
Friday,11:00:00,25,714.0
Friday,11:00:00,26,1163.0
Friday,11:00:00,27,233.0
Friday,11:00:00,28,1391.0
Friday,11:00:00,29,578.0
Friday,11:00:00,30,581.0
Friday,11:00:00,31,248.0
Friday,11:00:00,32,1374.0
Friday,11:00:00,33,238.0
Friday,11:00:00,34,221.0
Friday,11:00:00,35,1885.0
Friday,11:00:00,36,486.0
Friday,11:00:00,37,201.0
Friday,11:00:00,38,3358.0
Friday,11:00:00,39,402.0
Friday,11:00:00,40,562.0
Friday,11:00:00,41,2852.0
Friday,11:00:00,42,539.0
Friday,11:00:00,43,414.0
Friday,11:00:00,44,185.0
Friday,11:00:00,45,1217.0
Friday,11:00:00,46,207.0
Friday,11:00:00,47,1476.0
Friday,11:00:00,48,457.0
Friday,11:00:00,49,409.0
Friday,11:00:00,50,287.0
Friday,11:00:00,51,204.0
Friday,11:00:00,52,554.0
Friday,11:00:00,53,1473.0
Friday,11:00:00,54,257.0
Friday,11:00:00,55,1357.0
Friday,11:00:00,56,488.0
Friday,11:00:00,57,977.0
Friday,11:00:00,58,1214.0
Friday,11:00:00,59,756.0
Friday,11:00:00,60,2447.0
Friday,11:00:00,61,773.0
Friday,12:00:00,1,3214.0
Friday,12:00:00,2,3333.0
Friday,12:00:00,3,2413.0
Friday,12:00:00,4,3451.0
Friday,12:00:00,5,1883.0
Friday,12:00:00,6,2215.0
Friday,12:00:00,7,498.0
Friday,12:00:00,8,502.0
Friday,12:00:00,9,1188.0
Friday,12:00:00,10,503.0
Friday,12:00:00,11,175.0
Friday,12:00:00,12,383.0
Friday,12:00:00,13,1095.0
Friday,12:00:00,14,617.0
Friday,12:00:00,15,1678.0
Friday,12:00:00,16,2556.0
Friday,12:00:00,17,1491.0
Friday,12:00:00,18,681.0
Friday,12:00:00,19,1196.0
Friday,12:00:00,20,813.0
Friday,12:00:00,21,1429.0
Friday,12:00:00,22,2763.0
Friday,12:00:00,23,886.0
Friday,12:00:00,24,2319.0
Friday,12:00:00,25,988.0
Friday,12:00:00,26,1733.0
Friday,12:00:00,27,298.0
Friday,12:00:00,28,1776.0
Friday,12:00:00,29,804.0
Friday,12:00:00,30,1122.0
Friday,12:00:00,31,423.0
Friday,12:00:00,32,1938.0
Friday,12:00:00,33,346.0
Friday,12:00:00,34,341.0
Friday,12:00:00,35,3310.0
Friday,12:00:00,36,943.0
Friday,12:00:00,37,364.0
Friday,12:00:00,38,4265.0
Friday,12:00:00,39,1007.0
Friday,12:00:00,40,894.0
Friday,12:00:00,41,3574.0
Friday,12:00:00,42,667.0
Friday,12:00:00,43,505.0
Friday,12:00:00,44,216.0
Friday,12:00:00,45,1993.0
Friday,12:00:00,46,321.0
Friday,12:00:00,47,2182.0
Friday,12:00:00,48,596.0
Friday,12:00:00,49,585.0
Friday,12:00:00,50,411.0
Friday,12:00:00,51,283.0
Friday,12:00:00,52,915.0
Friday,12:00:00,53,2190.0
Friday,12:00:00,54,333.0
Friday,12:00:00,55,1876.0
Friday,12:00:00,56,775.0
Friday,12:00:00,57,2167.0
Friday,12:00:00,58,1814.0
Friday,12:00:00,59,939.0
Friday,12:00:00,60,3139.0
Friday,12:00:00,61,1247.0
Friday,13:00:00,1,3550.0
Friday,13:00:00,2,3794.0
Friday,13:00:00,3,2593.0
Friday,13:00:00,4,3819.0
Friday,13:00:00,5,1912.0
Friday,13:00:00,6,2272.0
Friday,13:00:00,7,535.0
Friday,13:00:00,8,453.0
Friday,13:00:00,9,1055.0
Friday,13:00:00,10,428.0
Friday,13:00:00,11,183.0
Friday,13:00:00,12,389.0
Friday,13:00:00,13,1176.0
Friday,13:00:00,14,606.0
Friday,13:00:00,15,1843.0
Friday,13:00:00,16,2784.0
Friday,13:00:00,17,1420.0
Friday,13:00:00,18,674.0
Friday,13:00:00,19,1252.0
Friday,13:00:00,20,776.0
Friday,13:00:00,21,1440.0
Friday,13:00:00,22,2961.0
Friday,13:00:00,23,866.0
Friday,13:00:00,24,2242.0
Friday,13:00:00,25,1049.0
Friday,13:00:00,26,1680.0
Friday,13:00:00,27,288.0
Friday,13:00:00,28,1813.0
Friday,13:00:00,29,892.0
Friday,13:00:00,30,1109.0
Friday,13:00:00,31,468.0
Friday,13:00:00,32,2121.0
Friday,13:00:00,33,320.0
Friday,13:00:00,34,345.0
Friday,13:00:00,35,3294.0
Friday,13:00:00,36,989.0
Friday,13:00:00,37,352.0
Friday,13:00:00,38,4629.0
Friday,13:00:00,39,971.0
Friday,13:00:00,40,848.0
Friday,13:00:00,41,3898.0
Friday,13:00:00,42,719.0
Friday,13:00:00,43,545.0
Friday,13:00:00,44,234.0
Friday,13:00:00,45,2257.0
Friday,13:00:00,46,336.0
Friday,13:00:00,47,2402.0
